topic_id,platform,category,keyword,title,search_intent,priority,source,status,created_at
20260503_naver_001_노션템플릿만들기,naver,,노션 템플릿 만들기,노션 템플릿 만들기 쉽게 배우는 방법,업무 자동화,,,drafted,2026-05-03
20260503_blogspot_en_002_ppt애니메이션효과,blogspot_en,,PPT 애니메이션 효과,PPT 애니메이션 효과 쉽게 배우는 방법,발표 개선,,,drafted,2026-05-03
20260503_blogspot_en_003_ppt슬라이드번호넣기,blogspot_en,,PPT 슬라이드 번호 넣기,PPT 슬라이드 번호 넣기 쉽게 배우는 방법,문서 정리,,,drafted,2026-05-03
20260503_naver_004_워드자동목차,naver,,워드 자동 목차,워드 자동 목차 쉽게 배우는 방법,보고서 작성,,,drafted,2026-05-03
20260503_naver_005_워드표만들기,naver,,워드 표 만들기,워드 표 만들기 쉽게 배우는 방법,문서 작업,,,drafted,2026-05-03
20260503_naver_006_워드페이지번호,naver,,워드 페이지 번호,워드 페이지 번호 쉽게 배우는 방법,문서 정리,,,drafted,2026-05-03
20260503_naver_007_피그마오토레이아웃,naver,,피그마 오토레이아웃,피그마 오토레이아웃 쉽게 배우는 방법,디자인 작업,,,drafted,2026-05-03
20260503_naver_008_피그마컴포넌트,naver,,피그마 컴포넌트,피그마 컴포넌트 쉽게 배우는 방법,디자인 시스템,,,drafted,2026-05-03
20260503_naver_009_유니티씬전환,naver,,유니티 씬 전환,유니티 씬 전환 쉽게 배우는 방법,게임 개발,,,drafted,2026-05-03
20260503_naver_010_유니티프리팹,naver,,유니티 프리팹,유니티 프리팹 쉽게 배우는 방법,게임 오브젝트 관리,,,drafted,2026-05-03
20260503_naver_011_언리얼블루프린트,naver,,언리얼 블루프린트,언리얼 블루프린트 쉽게 배우는 방법,게임 개발,,,drafted,2026-05-03
20260503_naver_012_언리얼레벨스트리밍,naver,,언리얼 레벨 스트리밍,언리얼 레벨 스트리밍 쉽게 배우는 방법,레벨 디자인,,,drafted,2026-05-03
